Index,PubID,Result
1,35361633,"[{'label': 'LABEL_1', 'score': 0.6744969487190247}]"
2,31690377,"[{'label': 'LABEL_1', 'score': 0.6563782095909119}]"
3,31558662,"[{'label': 'LABEL_1', 'score': 0.690628707408905}]"
4,32767571,"[{'label': 'LABEL_1', 'score': 0.5912377834320068}]"
5,30885426,"[{'label': 'LABEL_1', 'score': 0.6606460213661194}]"
6,35820227,"[{'label': 'LABEL_0', 'score': 0.5696806907653809}]"
7,33234856,"[{'label': 'LABEL_1', 'score': 0.6003648638725281}]"
8,31632757,"[{'label': 'LABEL_1', 'score': 0.6423212885856628}]"
9,33292524,"[{'label': 'LABEL_1', 'score': 0.6654056310653687}]"
10,30484945,"[{'label': 'LABEL_1', 'score': 0.6037135124206543}]"
11,32156662,"[{'label': 'LABEL_1', 'score': 0.6158716678619385}]"
12,32007172,"[{'label': 'LABEL_1', 'score': 0.6352993249893188}]"
13,28722853,"[{'label': 'LABEL_1', 'score': 0.5809584856033325}]"
14,35434004,"[{'label': 'LABEL_1', 'score': 0.5971316695213318}]"
15,35387016,"[{'label': 'LABEL_1', 'score': 0.6298349499702454}]"
16,35514240,"[{'label': 'LABEL_1', 'score': 0.5713596940040588}]"
17,35722499,"[{'label': 'LABEL_1', 'score': 0.7129443883895874}]"
18,31870229,"[{'label': 'LABEL_1', 'score': 0.652301013469696}]"
19,32356609,"[{'label': 'LABEL_1', 'score': 0.5463114380836487}]"
20,33658776,"[{'label': 'LABEL_1', 'score': 0.6763544082641602}]"
21,35272071,"[{'label': 'LABEL_1', 'score': 0.5362961888313293}]"
22,36041686,"[{'label': 'LABEL_0', 'score': 0.5082390904426575}]"
23,32361292,"[{'label': 'LABEL_1', 'score': 0.5653672814369202}]"
24,37278540,"[{'label': 'LABEL_1', 'score': 0.5038619041442871}]"
25,33536746,"[{'label': 'LABEL_1', 'score': 0.6793931722640991}]"
26,35015269,"[{'label': 'LABEL_1', 'score': 0.6198275089263916}]"
27,31710455,"[{'label': 'LABEL_1', 'score': 0.6262208223342896}]"
28,32375966,"[{'label': 'LABEL_1', 'score': 0.6380831003189087}]"
29,36279253,"[{'label': 'LABEL_1', 'score': 0.6166384816169739}]"
30,34388209,"[{'label': 'LABEL_1', 'score': 0.5423350930213928}]"
31,31125127,"[{'label': 'LABEL_0', 'score': 0.5621742606163025}]"
32,34613593,"[{'label': 'LABEL_1', 'score': 0.5838903784751892}]"
33,35861997,"[{'label': 'LABEL_1', 'score': 0.6449393033981323}]"
34,37160771,"[{'label': 'LABEL_1', 'score': 0.615841805934906}]"
35,36252915,"[{'label': 'LABEL_1', 'score': 0.5842444896697998}]"
36,30808365,"[{'label': 'LABEL_1', 'score': 0.5570154786109924}]"
37,30931183,"[{'label': 'LABEL_1', 'score': 0.6467792987823486}]"
38,36872445,"[{'label': 'LABEL_1', 'score': 0.6433466076850891}]"
39,36642495,"[{'label': 'LABEL_1', 'score': 0.6037636995315552}]"
40,35914802,"[{'label': 'LABEL_1', 'score': 0.5730543732643127}]"
41,30458908,"[{'label': 'LABEL_1', 'score': 0.5954541563987732}]"
42,35968263,"[{'label': 'LABEL_1', 'score': 0.5153715014457703}]"
43,30918154,"[{'label': 'LABEL_1', 'score': 0.562615692615509}]"
