Index,PubID,Result,Links
1,32358144,yes,https://pubmed.ncbi.nlm.nih.gov/32358144
2,29939533,no,https://pubmed.ncbi.nlm.nih.gov/29939533
3,36806432,no,https://pubmed.ncbi.nlm.nih.gov/36806432
4,32580323,no,https://pubmed.ncbi.nlm.nih.gov/32580323
5,35001823,yes,https://pubmed.ncbi.nlm.nih.gov/35001823
6,35001818,yes,https://pubmed.ncbi.nlm.nih.gov/35001818
7,31164485,yes,https://pubmed.ncbi.nlm.nih.gov/31164485
8,32674886,no,https://pubmed.ncbi.nlm.nih.gov/32674886
9,33902222,maybe,https://pubmed.ncbi.nlm.nih.gov/33902222
10,30890631,no,https://pubmed.ncbi.nlm.nih.gov/30890631
11,30232661,no,https://pubmed.ncbi.nlm.nih.gov/30232661
12,35104018,yes,https://pubmed.ncbi.nlm.nih.gov/35104018
13,35989776,no,https://pubmed.ncbi.nlm.nih.gov/35989776
14,34922610,no,https://pubmed.ncbi.nlm.nih.gov/34922610
15,34794294,no,https://pubmed.ncbi.nlm.nih.gov/34794294
