Index,PubID,Result
1,30297319,"[{'label': 'LABEL_0', 'score': 0.5290905237197876}]"
2,29669543,"[{'label': 'LABEL_0', 'score': 0.5366722941398621}]"
3,27219496,"[{'label': 'LABEL_0', 'score': 0.6712716221809387}]"
4,32899917,"[{'label': 'LABEL_0', 'score': 0.631926417350769}]"
5,33652942,"[{'label': 'LABEL_0', 'score': 0.5491659045219421}]"
6,29122390,"[{'label': 'LABEL_0', 'score': 0.5393115878105164}]"
7,30179134,"[{'label': 'LABEL_0', 'score': 0.5083528757095337}]"
8,29704920,"[{'label': 'LABEL_0', 'score': 0.5345783829689026}]"
9,32529512,"[{'label': 'LABEL_1', 'score': 0.6956255435943604}]"
10,20301444,"[{'label': 'LABEL_0', 'score': 0.5252052545547485}]"
1,30297319,"[{'label': 'LABEL_1', 'score': 0.6606502532958984}]"
2,29669543,"[{'label': 'LABEL_1', 'score': 0.6822258234024048}]"
3,27219496,"[{'label': 'LABEL_1', 'score': 0.6457442045211792}]"
4,32899917,"[{'label': 'LABEL_1', 'score': 0.6378939747810364}]"
5,33652942,"[{'label': 'LABEL_1', 'score': 0.611038088798523}]"
6,29122390,"[{'label': 'LABEL_1', 'score': 0.6292784214019775}]"
7,30179134,"[{'label': 'LABEL_1', 'score': 0.6261961460113525}]"
8,29704920,"[{'label': 'LABEL_1', 'score': 0.6321449875831604}]"
9,32529512,"[{'label': 'LABEL_0', 'score': 0.7426022887229919}]"
10,20301444,"[{'label': 'LABEL_1', 'score': 0.6673912405967712}]"
