Index,PubID,Result,Links
1,29261912,no,https://pubmed.ncbi.nlm.nih.gov/29261912
2,32580323,no,https://pubmed.ncbi.nlm.nih.gov/32580323
3,31088891,yes,https://pubmed.ncbi.nlm.nih.gov/31088891
4,32674886,no,https://pubmed.ncbi.nlm.nih.gov/32674886
5,33902222,no,https://pubmed.ncbi.nlm.nih.gov/33902222
6,34395044,maybe,https://pubmed.ncbi.nlm.nih.gov/34395044
7,30890631,no,https://pubmed.ncbi.nlm.nih.gov/30890631
8,30232661,no,https://pubmed.ncbi.nlm.nih.gov/30232661
9,35104018,yes,https://pubmed.ncbi.nlm.nih.gov/35104018
10,35989776,no,https://pubmed.ncbi.nlm.nih.gov/35989776
11,32533888,no,https://pubmed.ncbi.nlm.nih.gov/32533888
12,34794294,no,https://pubmed.ncbi.nlm.nih.gov/34794294
